Date,Open,High,Low,Close,Vol
2021/1/1,29185.7,31817.6,28636,31701.1,21300.1387
2021/1/2,31707.2,34786.4,30414.9,33517.4,19720.68651
2021/1/3,33514.6,33865.6,27600,31738.9,24097.81522
2021/1/4,31737.1,32839.5,29880,32100,15756.44649
2021/1/5,32093.1,35808.4,31770,34559.3,25062.78496
2021/1/6,34552.5,38963.4,34271.1,38959.1,24946.95826
2021/1/7,38963.5,41950,36518,40812.6,34286.43244
2021/1/8,40822.2,41625.2,38638.4,40529,19794.75654
2021/1/9,40522.7,41350,38500,39671,20905.93428
2021/1/10,39671.1,39763.2,31065.4,31577,43906.49336
2021/1/11,31581.1,36627.1,30416.8,33826.4,39286.53509
2021/1/12,33830.9,35547.8,32376.1,34669.7,31037.82617
2021/1/13,34668.2,40140.3,34380.2,39534.1,23392.39941
2021/1/14,39540.3,40018,35243.6,35629.7,17480.0703
2021/1/15,35635.8,37949.1,34410.1,37463.5,23152.03536
2021/1/16,37470.4,37743.7,33853.3,35735,20396.21708
2021/1/17,35733.1,37489.5,34779.1,36418.4,13999.15255
2021/1/18,36414.5,37545.1,35400.3,37327.9,13690.96908
2021/1/19,37327.8,37867.7,33988.8,34186.8,26957.00678
2021/1/20,34190.5,35659.9,31040,31390,23799.91589
2021/1/21,31389.9,32751.7,28842.2,32464.5,38067.75932
2021/1/22,32467.5,33815.9,31401.1,31883.1,15545.94401
2021/1/23,31883.3,33093.6,31619,31953.6,9988.568551
2021/1/24,31956.3,34869.4,30918.4,34450.5,13969.16571
2021/1/25,34458.8,34609,30808.3,31744.2,14491.15027
2021/1/26,31744.1,32912.2,29230.5,30244.5,19979.55358
2021/1/27,30244.5,32215.1,29492,31931,22504.27494
2021/1/28,31936,38562.5,31644.7,37129.9,43625.77071
2021/1/29,37131.8,37538.6,32829.1,34222.9,29020.74525
2021/1/30,34214.2,34773.5,32500,32859.6,11460.78044
2021/1/31,32862.2,34713.8,32170.2,33154.8,14655.31006
2021/2/1,33154.9,35666,33141,34717.7,11768.6224
2021/2/2,34716.3,36905.9,34567.9,36849.8,19331.62533
2021/2/3,36847.6,38732.4,36176.4,36571.6,23208.21595
2021/2/4,36572.8,38300,36420.1,37974.4,16837.74325
2021/2/5,37981.6,40860,37300,40849.7,17133.47838
2021/2/6,40851.9,40950,37567.2,37924.8,14046.75421
2021/2/7,37922.4,44625,37344.1,43698.4,22425.86698
2021/2/8,43699,48137.3,42541.2,46779.9,18159.04739
2021/2/9,46772.2,47495.3,43729,44348.7,15531.26528
2021/2/10,44354.5,48386,43831.9,47956.9,12522.56586
2021/2/11,47962.5,49000,46108.2,47026.8,11018.71945
2021/2/12,47026.8,48132,46221.8,47086,15324.07742
2021/2/13,47088.7,49705.1,46666,48543.2,8939.403855
2021/2/14,48546.2,49291,45680,47951.2,10563.53004
2021/2/15,47950.2,50654,47012.2,48957,10913.53704
2021/2/16,48960.7,51678.3,47755,51150.3,11221.12455
2021/2/17,51150.3,52617.9,50771.2,51571.5,14851.49857
2021/2/18,51569.7,53890,50706,53866.7,7578.922856
2021/2/19,53858.9,57586.6,53605.3,56131.4,21600.28935
2021/2/20,56143.6,57827.5,53927.8,57321.3,7747.105625
2021/2/21,57321.4,58318,47668,53231.9,19078.3952
2021/2/22,53237.5,54982.1,44890.9,48618.8,35989.94001
2021/2/23,48618.8,51351.9,45223,49821,24392.69308
2021/2/24,49823.5,52000,48011,50839.1,11431.13008
2021/2/25,50839.2,51350,44108.2,47585.1,24957.57948
2021/2/26,47579.8,48418.6,45064.6,46514.6,11949.24934
2021/2/27,46528,47559.7,43173.3,43395.9,13032.51519
2021/2/28,43392.6,49284,43001,49186.6,13247.07598
2021/3/1,49188.4,50210.1,47907.2,48668.4,12328.58903
2021/3/2,48668.4,52630.1,47058.9,50771.3,13530.08157
2021/3/3,50779.3,51771.8,48511.4,49396.8,12950.96545
2021/3/4,49419,50036.1,46299.9,47867.5,13143.30351
2021/3/5,47867.5,49449.8,46875.9,47266.4,19138.37799
2021/3/6,47266.4,51273,47120,50588.2,8628.283612
2021/3/7,50591.2,51829.9,49254.2,51057.7,13044.42478
2021/3/8,51065.9,54796,50542.9,54089,11679.97275
2021/3/9,54083.1,56486,53018,56351,10931.78461
2021/3/10,56341.3,57434.8,54278.4,56341.5,14942.0166
2021/3/11,56343.7,58145.9,55030.9,56931.2,22467.71969
2021/3/12,56933.1,57750,56082.4,57306.9,12974.00326